source,target,similarity
0,268,0.038461538
0,295,0.038461538
0,1175,0.038461538
0,1286,0.038461538
0,1435,0.038461538
0,1555,0.038461538
0,1786,0.038461538
0,1888,0.038461538
0,1914,0.038461538
1,8,0.038461538
1,544,0.038461538
1,650,0.038461538
1,888,0.038461538
1,914,0.038461538
1,989,0.038461538
1,1194,0.038461538
2,1852,0.038461538
3,112,0.038461538
3,262,0.038461538
3,916,0.038461538
3,1026,0.038461538
3,1070,0.038461538
3,1190,0.038461538
4,861,0.115384615
4,1235,0.038461538
4,1387,0.038461538
4,2013,0.076923077
5,101,0.038461538
5,258,0.038461538
5,554,0.038461538
5,917,0.038461538
5,1924,0.038461538
6,251,0.038461538
6,343,0.038461538
6,363,0.038461538
6,513,0.038461538
6,726,0.038461538
6,734,0.038461538
6,878,0.038461538
6,884,0.038461538
6,954,0.038461538
6,1058,0.038461538
6,1219,0.038461538
6,1551,0.038461538
6,1677,0.038461538
6,2006,0.038461538
7,11,0.038461538
7,216,0.038461538
7,426,0.038461538
7,462,0.038461538
7,839,0.038461538
7,1129,0.038461538
7,1433,0.038461538
7,1598,0.038461538
7,1864,0.038461538
7,1880,0.038461538
7,1973,0.038461538
8,1,0.038461538
8,348,0.038461538
8,530,0.038461538
8,888,0.038461538
9,281,0.038461538
9,304,0.038461538
9,1069,0.038461538
9,1608,0.038461538
9,1610,0.038461538
9,1774,0.038461538
9,1963,0.038461538
10,136,0.038461538
10,174,0.038461538
10,257,0.038461538
10,437,0.038461538
10,464,0.038461538
10,803,0.038461538
10,872,0.038461538
10,891,0.038461538
10,1097,0.038461538
10,1173,0.038461538
10,1297,0.038461538
10,1299,0.038461538
10,1432,0.038461538
10,1453,0.038461538
10,1501,0.038461538
10,1578,0.038461538
10,1667,0.038461538
10,1718,0.038461538
10,1931,0.038461538
10,2089,0.038461538
11,7,0.038461538
11,1880,0.038461538
11,1973,0.038461538
12,36,0.038461538
12,38,0.038461538
12,49,0.038461538
12,73,0.038461538
12,74,0.038461538
12,81,0.038461538
12,103,0.038461538
12,106,0.038461538
12,117,0.038461538
12,156,0.038461538
12,243,0.038461538
12,247,0.038461538
12,249,0.038461538
12,250,0.038461538
12,270,0.038461538
12,294,0.038461538
12,301,0.038461538
12,306,0.038461538
12,307,0.038461538
12,314,0.038461538
12,346,0.038461538
12,356,0.038461538
12,363,0.038461538
12,374,0.038461538
12,399,0.038461538
12,418,0.038461538
12,443,0.038461538
12,451,0.038461538
12,531,0.038461538
12,538,0.038461538
12,556,0.038461538
12,613,0.038461538
12,629,0.038461538
12,677,0.038461538
12,699,0.038461538
12,719,0.038461538
12,742,0.038461538
12,747,0.038461538
12,763,0.038461538
12,766,0.038461538
12,800,0.038461538
12,818,0.038461538
12,831,0.038461538
12,838,0.038461538
12,841,0.038461538
12,880,0.038461538
12,884,0.038461538
12,886,0.038461538
12,938,0.038461538
12,943,0.038461538
12,968,0.038461538
12,992,0.038461538
12,1002,0.038461538
12,1004,0.038461538
12,1042,0.038461538
12,1053,0.038461538
12,1084,0.038461538
12,1101,0.038461538
12,1102,0.038461538
12,1103,0.038461538
12,1134,0.038461538
12,1176,0.038461538
12,1184,0.038461538
12,1232,0.038461538
12,1256,0.038461538
12,1306,0.038461538
12,1352,0.038461538
12,1390,0.038461538
12,1392,0.038461538
12,1406,0.038461538
12,1425,0.038461538
12,1429,0.038461538
12,1474,0.038461538
12,1515,0.038461538
12,1529,0.038461538
12,1599,0.038461538
12,1604,0.038461538
12,1622,0.038461538
12,1633,0.038461538
12,1651,0.038461538
12,1688,0.038461538
12,1704,0.038461538
12,1707,0.038461538
12,1745,0.038461538
12,1757,0.038461538
12,1773,0.038461538
12,1883,0.038461538
12,1900,0.038461538
12,1908,0.038461538
12,1943,0.038461538
12,1947,0.038461538
12,1960,0.038461538
12,1970,0.038461538
12,1996,0.038461538
12,1999,0.038461538
12,2018,0.038461538
12,2048,0.038461538
12,2091,0.038461538
13,119,0.038461538
13,919,0.038461538
13,1333,0.038461538
13,1549,0.038461538
14,391,0.038461538
14,726,0.038461538
14,1558,0.038461538
14,1754,0.038461538
14,1979,0.038461538
15,16,0.076923077
15,518,0.076923077
15,524,0.038461538
15,704,0.038461538
15,961,0.153846154
15,1417,0.038461538
15,1942,0.076923077
16,15,0.076923077
16,19,0.038461538
16,50,0.038461538
16,59,0.038461538
16,79,0.038461538
16,85,0.038461538
16,153,0.038461538
16,193,0.038461538
16,208,0.038461538
16,223,0.038461538
16,266,0.038461538
16,429,0.038461538
16,477,0.038461538
16,507,0.038461538
16,518,0.038461538
16,524,0.038461538
16,564,0.038461538
16,599,0.038461538
16,608,0.038461538
16,640,0.038461538
16,654,0.038461538
16,675,0.038461538
16,693,0.038461538
16,718,0.038461538
16,746,0.038461538
16,757,0.038461538
16,774,0.038461538
16,781,0.038461538
16,794,0.038461538
16,824,0.038461538
16,897,0.038461538
16,946,0.038461538
16,955,0.038461538
16,957,0.038461538
16,961,0.076923077
16,1023,0.038461538
16,1073,0.038461538
16,1153,0.038461538
16,1233,0.038461538
16,1237,0.038461538
16,1253,0.038461538
16,1255,0.038461538
16,1285,0.038461538
16,1294,0.038461538
16,1333,0.038461538
16,1376,0.038461538
16,1517,0.038461538
16,1540,0.038461538
16,1544,0.038461538
16,1572,0.038461538
16,1591,0.038461538
16,1620,0.038461538
16,1639,0.038461538
16,1702,0.038461538
16,1835,0.038461538
16,1870,0.038461538
16,1882,0.038461538
16,1891,0.038461538
16,1894,0.038461538
16,1904,0.038461538
16,1924,0.038461538
16,1942,0.269230769
16,1952,0.038461538
16,1989,0.038461538
16,2094,0.038461538
16,2104,0.038461538
17,32,0.038461538
17,191,0.038461538
17,423,0.038461538
17,546,0.038461538
17,551,0.038461538
17,577,0.038461538
17,619,0.038461538
17,729,0.038461538
17,813,0.038461538
17,1141,0.038461538
17,1148,0.038461538
17,1231,0.038461538
17,1237,0.038461538
17,1262,0.038461538
17,1427,0.038461538
17,1505,0.038461538
17,1531,0.038461538
17,1567,0.038461538
17,1589,0.038461538
17,1612,0.038461538
17,1785,0.038461538
17,1869,0.038461538
17,1916,0.038461538
17,2028,0.038461538
17,2065,0.038461538
17,2075,0.038461538
18,160,0.076923077
18,363,0.076923077
18,388,0.038461538
18,391,0.076923077
18,499,0.038461538
18,503,0.038461538
18,511,0.038461538
18,522,0.038461538
18,667,0.076923077
18,723,0.038461538
18,947,0.038461538
18,981,0.038461538
18,1085,0.038461538
18,1094,0.038461538
18,1113,0.038461538
18,1334,0.038461538
18,1352,0.038461538
18,1388,0.038461538
18,1390,0.076923077
18,1447,0.038461538
18,1463,0.038461538
18,1524,0.076923077
18,1605,0.038461538
18,1694,0.038461538
18,1725,0.038461538
18,1732,0.038461538
18,1741,0.038461538
18,1779,0.038461538
18,1824,0.038461538
18,1844,0.038461538
18,1923,0.038461538
18,1979,0.038461538
18,1985,0.038461538
19,16,0.038461538
19,50,0.038461538
19,59,0.038461538
19,79,0.038461538
19,85,0.038461538
19,208,0.038461538
19,223,0.038461538
19,429,0.038461538
19,507,0.038461538
19,564,0.038461538
19,599,0.038461538
19,608,0.038461538
19,640,0.038461538
19,654,0.038461538
19,675,0.038461538
19,693,0.038461538
19,746,0.038461538
19,757,0.038461538
19,774,0.038461538
19,781,0.038461538
19,794,0.038461538
19,824,0.038461538
19,897,0.038461538
19,946,0.038461538
19,955,0.038461538
19,1023,0.038461538
19,1073,0.038461538
19,1153,0.038461538
19,1233,0.038461538
19,1253,0.038461538
19,1255,0.038461538
19,1285,0.038461538
19,1294,0.038461538
19,1376,0.038461538
19,1540,0.038461538
19,1544,0.038461538
19,1572,0.038461538
19,1591,0.038461538
19,1620,0.038461538
19,1639,0.038461538
19,1702,0.038461538
19,1835,0.038461538
19,1870,0.038461538
19,1882,0.038461538
19,1894,0.038461538
19,1904,0.038461538
19,1952,0.038461538
19,1989,0.038461538
19,2094,0.038461538
19,2104,0.038461538
20,35,0.076923077
20,67,0.076923077
20,379,0.038461538
20,423,0.038461538
20,527,0.076923077
20,616,0.038461538
20,626,0.076923077
20,650,0.038461538
20,672,0.076923077
20,817,0.115384615
20,827,0.038461538
20,1079,0.076923077
20,1131,0.038461538
20,1145,0.038461538
20,1236,0.038461538
20,1830,0.038461538
20,1852,0.038461538
20,1936,0.038461538
20,2000,0.076923077
21,410,0.038461538
21,1009,0.038461538
21,1272,0.038461538
22,24,0.038461538
22,98,0.038461538
22,441,0.038461538
22,796,0.038461538
22,858,0.038461538
22,929,0.038461538
22,1005,0.038461538
22,1056,0.038461538
22,1621,0.038461538
22,1634,0.038461538
22,1758,0.038461538
22,1767,0.038461538
22,1873,0.038461538
22,2041,0.076923077
22,2101,0.038461538
23,40,0.038461538
23,74,0.038461538
23,78,0.038461538
23,86,0.038461538
23,147,0.038461538
23,156,0.038461538
23,167,0.038461538
23,172,0.307692308
23,249,0.192307692
23,256,0.192307692
23,260,0.038461538
23,265,0.038461538
23,343,0.153846154
23,346,0.038461538
23,463,0.038461538
23,479,0.076923077
23,506,0.269230769
23,556,0.038461538
23,567,0.076923077
23,585,0.153846154
23,613,0.076923077
23,699,0.153846154
23,707,0.269230769
23,747,0.038461538
23,828,0.038461538
23,841,0.038461538
23,884,0.076923077
23,965,0.115384615
23,968,0.038461538
23,969,0.076923077
23,987,0.038461538
23,1004,0.423076923
23,1042,0.038461538
23,1053,0.038461538
23,1098,0.269230769
23,1101,0.269230769
23,1102,0.076923077
23,1179,0.076923077
23,1184,0.038461538
23,1281,0.038461538
23,1318,0.076923077
23,1390,0.153846154
23,1424,0.076923077
23,1425,0.038461538
23,1451,0.461538462
23,1478,0.192307692
23,1529,0.038461538
23,1561,0.038461538
23,1604,0.346153846
23,1622,0.038461538
23,1645,0.346153846
23,1651,0.038461538
23,1680,0.038461538
23,1692,0.038461538
23,1746,0.038461538
23,1757,0.269230769
23,1797,0.230769231
23,1806,0.038461538
23,1809,0.038461538
23,1846,0.269230769
23,1858,0.038461538
23,1860,0.038461538
23,1889,0.038461538
23,1953,0.038461538
23,1959,0.038461538
23,1997,0.461538462
23,2010,0.269230769
23,2018,0.076923077
23,2043,0.038461538
24,22,0.038461538
24,44,0.038461538
24,63,0.038461538
24,172,0.038461538
24,585,0.038461538
24,726,0.076923077
24,979,0.038461538
24,1334,0.038461538
24,1634,0.038461538
24,1664,0.115384615
24,1738,0.038461538
24,2010,0.038461538
25,400,0.038461538
25,717,0.038461538
25,751,0.038461538
25,786,0.076923077
25,810,0.038461538
25,1497,0.038461538
25,2037,0.038461538
26,141,0.038461538
26,407,0.038461538
26,503,0.038461538
26,513,0.038461538
26,562,0.038461538
26,574,0.038461538
26,796,0.038461538
26,870,0.038461538
26,1061,0.038461538
26,1180,0.038461538
26,1250,0.038461538
26,1664,0.038461538
